
# Curve 0 of 1, 2000 points
# Curve title: "'gr_OO_exp_skinner2013_new.dat' u 4:($5*0.5*(tanh(30.0*($4-2.45))+1))"
# x y type
 2.88  2.32092  o
 2.89  2.26294  o
 2.9  2.20201  o
 2.91  2.13899  o
 2.92  2.07466  o
 2.93  2.00976  o
 2.94  1.94495  o
 2.95  1.88082  o
 2.96  1.81788  o
 2.97  1.75657  o
 2.98  1.69724  o
 2.99  1.64016  o
 3  1.58553  o
 3.01  1.53349  o
 3.02  1.4841  o
 3.03  1.43738  o
 3.04  1.39331  o
 3.05  1.35182  o
 3.06  1.31282  o
 3.07  1.2762  o
 3.08  1.24184  o
 3.09  1.20959  o
 3.1  1.17935  o
 3.11  1.15098  o
 3.12  1.12436  o
 3.13  1.09939  o
 3.14  1.07598  o
 3.15  1.05405  o
 3.16  1.03352  o
 3.17  1.01434  o
 3.18  0.996463  o
 3.19  0.979842  o
 3.2  0.964443  o
 3.21  0.950231  o
 3.22  0.937172  o
 3.23  0.925232  o
 3.24  0.914373  o
 3.25  0.904552  o
 3.26  0.895722  o
 3.27  0.88783  o
 3.28  0.880821  o
 3.29  0.874632  o
 3.3  0.869198  o
 3.31  0.864452  o
 3.32  0.860326  o
 3.33  0.856752  o
 3.34  0.853664  o
 3.35  0.851002  o
 3.36  0.848707  o
 3.37  0.846729  o
 3.38  0.845024  o
 3.39  0.843554  o
 3.4  0.842291  o
 3.41  0.841213  o
 3.42  0.840306  o
 3.43  0.839564  o
 3.44  0.838985  o
 3.45  0.838573  o
 3.46  0.838337  o
 3.47  0.838289  o
 3.48  0.838441  o
 3.49  0.838807  o
 3.5  0.839401  o
 3.51  0.840234  o
 3.52  0.841315  o
 3.53  0.84265  o
 3.54  0.844243  o
 3.55  0.846093  o
 3.56  0.848193  o
 3.57  0.850536  o
 3.58  0.853107  o
 3.59  0.855892  o
 3.6  0.858872  o
 3.61  0.862024  o
 3.62  0.865328  o
 3.63  0.868758  o
 3.64  0.872292  o
 3.65  0.875907  o
 3.66  0.87958  o
 3.67  0.883293  o
 3.68  0.887027  o
 3.69  0.890767  o
 3.7  0.894502  o
 3.71  0.898221  o
 3.72  0.901919  o
 3.73  0.905593  o
 3.74  0.909242  o
 3.75  0.912868  o
 3.76  0.916475  o
 3.77  0.920069  o
 3.78  0.923657  o
 3.79  0.927245  o
 3.8  0.930841  o
 3.81  0.934453  o
 3.82  0.938087  o
 3.83  0.941749  o
 3.84  0.945442  o
 3.85  0.949168  o
 3.86  0.952929  o
 3.87  0.956724  o
 3.88  0.960548  o
 3.89  0.964399  o
 3.9  0.968268  o
 3.91  0.97215  o
 3.92  0.976035  o
 3.93  0.979916  o
 3.94  0.983782  o
 3.95  0.987624  o
 3.96  0.991435  o
 3.97  0.995205  o
 3.98  0.998928  o
 3.99  1.0026  o
 4  1.00621  o
 4.01  1.00977  o
 4.02  1.01326  o
 4.03  1.01669  o
 4.04  1.02006  o
 4.05  1.02338  o
 4.06  1.02665  o
 4.07  1.02987  o
 4.08  1.03304  o
 4.09  1.03619  o
 4.1  1.0393  o
 4.11  1.04239  o
 4.12  1.04546  o
 4.13  1.04852  o
 4.14  1.05156  o
 4.15  1.0546  o
 4.16  1.05762  o
 4.17  1.06063  o
 4.18  1.06364  o
 4.19  1.06662  o
 4.2  1.06958  o
 4.21  1.07251  o
 4.22  1.0754  o
 4.23  1.07825  o
 4.24  1.08104  o
 4.25  1.08377  o
 4.26  1.08642  o
 4.27  1.08899  o
 4.28  1.09147  o
 4.29  1.09385  o
 4.3  1.09612  o
 4.31  1.09828  o
 4.32  1.10031  o
 4.33  1.10223  o
 4.34  1.10401  o
 4.35  1.10567  o
 4.36  1.1072  o
 4.37  1.1086  o
 4.38  1.10987  o
 4.39  1.11102  o
 4.4  1.11205  o
 4.41  1.11297  o
 4.42  1.11377  o
 4.43  1.11447  o
 4.44  1.11506  o
 4.45  1.11556  o
 4.46  1.11597  o
 4.47  1.1163  o
 4.48  1.11654  o
