#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
350.18; 215.23859; 51075.86082798
352.21; 213.80936; 51511.158225444
354.25; 212.13885; 51943.054623385
356.28; 210.38334; 52371.376955324
358.32; 208.72248; 52796.317907352
360.36; 207.33668; 53218.437499272
362.39; 206.37736; 53638.603997697
364.43; 205.93715; 54057.874252355
366.46; 206.02966; 54477.332851524
368.50; 206.5868; 54897.925740073
370.54; 207.47634; 55320.329662276
372.57; 208.53562; 55744.890186133
374.61; 209.61102; 56171.640142611
376.64; 210.59063; 56600.384497232
378.68; 211.41978; 57030.816919816
380.72; 212.09592; 57462.625908154
382.75; 212.64716; 57895.55717527
384.79; 213.10485; 58329.420252623
386.82; 213.48228; 58764.051751062
388.86; 213.768; 59199.264956481
390.90; 213.935; 59634.81814937
392.93; 213.9596; 60070.421422306
394.97; 213.83935; 60505.779887053
397.00; 213.59963; 60940.650290348
399.04; 213.28401; 61374.878135981
401.07; 212.93165; 61808.38859393
403.11; 212.55132; 62241.124746525
405.15; 212.1052; 62672.952627276
407.18; 211.51196; 63103.572718091
409.22; 210.67198; 63532.48268929
411.25; 209.50793; 63959.022756095
413.29; 208.00704; 64382.507139205
415.33; 206.24922; 64802.412750557
417.36; 204.40878; 65218.571388904
419.40; 202.72589; 65631.303812047
421.43; 201.45379; 66041.446344103
423.47; 200.79584; 66450.249349316
425.51; 200.85003; 66859.162676307
427.54; 201.5764; 67269.554823364
429.58; 202.79641; 67682.430818046
431.61; 204.22443; 68098.214133812
433.65; 205.52315; 68516.641536069
435.69; 206.36964; 68936.79231408
437.72; 206.51692; 69357.242932616
439.76; 205.83853; 69776.312405295
441.79; 204.34834; 70192.347989175
443.83; 202.19385; 70603.997208876
445.87; 199.62659; 71010.419710031
447.90; 196.95729; 71411.40776011
449.94; 194.50495; 71807.40305844
451.97; 192.54874; 72199.415675398
454.01; 191.28979; 72588.865175943
456.04; 190.82704; 72977.372565751
458.08; 191.14856; 73366.534538689
460.12; 192.13747; 73757.709849017
462.15; 193.59049; 74151.843377051
464.19; 195.24643; 74549.348264005
466.22; 196.82208; 74950.061032834
468.26; 198.05225; 75353.278324389
470.30; 198.72999; 75757.875442247
472.33; 198.74118; 76162.495337166
474.37; 198.08661; 76565.782579799
476.40; 196.88486; 76966.623162225
478.44; 195.35172; 77364.342408975
480.48; 193.75697; 77758.814886304
482.51; 192.36572; 78150.454889778
484.55; 191.37733; 78540.082617657
486.58; 190.87784; 78928.69341673
488.62; 190.81974; 79317.185943644
490.66; 191.03652; 79706.11980772
492.69; 191.28908; 80095.567862213
494.73; 191.3318; 80485.102885872
496.76; 190.97926; 80873.920184654
498.80; 190.15475; 81261.058841802
500.83; 188.90728; 81645.657750515
502.87; 187.39447; 82027.176727776
504.91; 185.83901; 82405.528919142
506.94; 184.47371; 82781.101465075
508.98; 183.49189; 83154.675112771
511.01; 183.01514; 83527.278135319
513.05; 183.0825; 83900.01831031
515.09; 183.65741; 84273.928937924
517.12; 184.64379; 84649.847763786
519.16; 185.90342; 85028.33108112
521.19; 187.2703; 85409.597246566
523.23; 188.56373; 85793.496718002
525.27; 189.60458; 86179.515272251
527.30; 190.2387; 86566.824848684
529.34; 190.36643; 86954.394467505
531.37; 189.97092; 87341.158857929
533.41; 189.13384; 87726.219023444
535.45; 188.02767; 88109.027130612
537.48; 186.88039; 88489.499475563
539.52; 185.91842; 88868.013336281
541.55; 185.30355; 89245.275381436
543.59; 185.08433; 89622.091095568
