#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
840.83; 1.6370862; 102038.70314833
842.87; 1.8092807; 102042.38668765
844.90; 1.9960051; 102046.45038186
846.94; 2.1880755; 102050.90511484
848.98; 2.372605; 102055.73553388
851.01; 2.5330604; 102060.89262634
853.05; 2.6505371; 102066.28889103
855.08; 2.7064079; 102071.79890398
857.12; 2.6859695; 102077.26730598
859.16; 2.582215; 102082.52447278
861.19; 2.3986355; 102087.40788767
863.23; 2.1500847; 102091.78527454
865.26; 1.8612248; 102095.57456751
867.30; 1.5627378; 102098.75616682
869.34; 1.2861105; 102101.37457677
871.37; 1.0581817; 102103.52894342
873.41; 0.89667437; 102105.35449505
875.44; 0.80763464; 102106.99876948
877.48; 0.78520204; 102108.59737306
879.51; 0.81359495; 102110.25378217
881.55; 0.87076397; 102112.02658246
883.59; 0.9329131; 102113.92591303
885.62; 0.97902248; 102115.9191183
887.66; 0.9945837; 102117.94400488
889.69; 0.97393485; 102119.92685219
891.73; 0.92082413; 102121.80157066
893.77; 0.84712704; 102123.52624821
895.80; 0.76997329; 102125.09384737
897.84; 0.7078637; 102126.53499677
899.87; 0.67659968; 102127.91249532
901.91; 0.68592384; 102129.30897706
903.95; 0.73762463; 102130.81071713
905.98; 0.8255008; 102132.49136552
908.02; 0.9371025; 102134.39922534
910.05; 1.0567093; 102136.55059433
912.09; 1.1687194; 102138.93000615
914.13; 1.2605979; 102141.49647474
916.16; 1.3247636; 102144.19357903
918.20; 1.3591758; 102146.96074376
920.23; 1.3667769; 102149.74338361
922.27; 1.3541944; 102152.5004066
924.30; 1.3301637; 102155.20850503
926.34; 1.3040008; 102157.86333819
928.38; 1.2842588; 102160.4779782
930.41; 1.2775434; 102163.07894639
932.45; 1.2874481; 102165.70007954
934.48; 1.3136716; 102168.37460158
936.52; 1.3515514; 102171.12624365
938.56; 1.3923337; 102173.96091498
940.59; 1.4244345; 102176.86094071
942.63; 1.4356828; 102179.78386699
944.66; 1.4161679; 102182.66706254
946.70; 1.3609766; 102185.43789341
948.74; 1.2719718; 102188.02751815
950.77; 1.1579234; 102190.38495033
952.81; 1.0327525; 102192.48754538
954.84; 0.91224579; 102194.34479907
956.88; 0.81014053; 102195.99417528
958.92; 0.73475119; 102197.4900653
960.95; 0.68718695; 102198.88911862
962.99; 0.66171554; 102200.23631436
965.02; 0.64811955; 102201.55582983
967.06; 0.6352243; 102202.84909168
969.09; 0.61439699; 102204.09995093
971.13; 0.58187212; 102205.28459234
973.17; 0.53922922; 102206.38241649
975.20; 0.4920559; 102207.38419984
977.24; 0.44749376; 102208.29525852
979.27; 0.41172629; 102209.13349772
981.31; 0.38838511; 102209.92421629
983.35; 0.37836899; 102210.69454289
985.38; 0.38090243; 102211.47002736
987.42; 0.39510314; 102212.27442324
989.45; 0.4211308; 102213.13180921
991.49; 0.46024511; 102214.06882853
993.53; 0.51369483; 102215.11466686
995.56; 0.58101665; 102216.29756662
997.60; 0.65872185; 102217.63866747
999.63; 0.74027656; 102219.14580665
1001.67; 0.81773152; 102220.81063746
1003.71; 0.88455359; 102222.61151223
1005.74; 0.93851697; 102224.52225177
1007.78; 0.98327273; 102226.52411018
1009.81; 1.0275949; 102228.61620462
1011.85; 1.0821941; 102230.81945832
1013.89; 1.1550477; 102233.17103578
1015.92; 1.2469614; 102235.70974159
1017.96; 1.3491932; 102238.45658242
1019.99; 1.4443321; 102241.39711791
1022.03; 1.510445; 102244.47225349
1024.06; 1.5272443; 102247.581591
1026.10; 1.4822057; 102250.5992338
1028.14; 1.3745182; 102253.39763418
1030.17; 1.2155245; 102255.87233711
1032.21; 1.025594; 102257.96035792
1034.24; 0.82865327; 102259.64742447
1036.28; 0.64636438; 102260.96336657
1038.32; 0.4939008; 102261.96890597
1040.35; 0.37847715; 102262.73945278
1042.39; 0.30060422; 102263.35145703
1044.42; 0.25698266; 102263.87465154
1046.46; 0.2434537; 102264.37030226
1048.50; 0.25666708; 102264.89285429
1050.53; 0.29394692; 102265.49130485
1052.57; 0.35182679; 102266.20759384
1054.60; 0.424417; 102267.07167021
1056.64; 0.5028449; 102268.09541903
1058.68; 0.57645135; 102269.26902422
1060.71; 0.63550659; 102270.56286078
1062.75; 0.67436918; 102271.93581822
1064.78; 0.69365443; 102273.34803877
1066.82; 0.70028592; 102274.77376047
1068.85; 0.70515274; 102276.20939058
1070.89; 0.71911577; 102277.67344824
1072.93; 0.74884844; 102279.19803903
1074.96; 0.79412918; 102280.8148175
1077.00; 0.84766135; 102282.54058285
1079.03; 0.89750628; 102284.36782818
1081.07; 0.93119439; 102286.26365961
1083.11; 0.93995013; 102288.17731694
1085.14; 0.92147762; 102290.05336586
1087.18; 0.88037912; 102291.84574176
1089.21; 0.82623674; 102293.52788846
1091.25; 0.77027434; 102295.09610054
1093.29; 0.72197476; 102296.56597884
1095.32; 0.68690126; 102297.96445052
1097.36; 0.66635528; 102299.32109236
1099.39; 0.65868647; 102300.66212117
1101.43; 0.66140968; 102302.00869419
1103.47; 0.67303875; 102303.378943
1105.50; 0.69378891; 102304.79143734
1107.54; 0.72488708; 102306.26724487
1109.57; 0.76689168; 102307.82857015
1111.61; 0.81787653; 102309.49369618
1113.64; 0.87240241; 102311.2698322
1115.68; 0.92188077; 102313.14670189
1117.72; 0.95637581; 102315.0938005
1119.75; 0.96732566; 102317.06319206
1121.79; 0.95030314; 102318.99792725
1123.82; 0.90689623; 102320.8442897
1125.86; 0.84505821; 102322.56475527
1127.90; 0.7777416; 102324.14817004
1129.93; 0.7201272; 102325.61428688
1131.97; 0.68614379; 102327.01121641
1134.00; 0.68515352; 102328.40612986
1136.04; 0.71963032; 102329.87123507
1138.08; 0.7844139; 102331.46823408
1140.11; 0.86774642; 102333.2348909
1142.15; 0.9538712; 102335.17689034
1144.18; 1.0265848; 102337.26692849
1146.22; 1.0728719; 102339.45120302
1148.26; 1.0856958; 102341.66158606
1150.29; 1.0652124; 102343.83026657
1152.33; 1.0180884; 102345.90300665
1154.36; 0.95515891; 102347.84762775
1156.40; 0.8881677; 102349.65586054
1158.43; 0.82663656; 102351.33882123
1160.47; 0.77586708; 102352.91841964
1162.51; 0.73667648; 102354.41822937
1164.54; 0.70683018; 102355.85727462
1166.58; 0.68348639; 102357.24879393
1168.61; 0.66556623; 102358.60382934
1170.65; 0.65498391; 102359.93732005
1172.69; 0.65613029; 102361.27314469
1174.72; 0.67373685; 102362.64481478
1176.76; 0.70996488; 102364.09024199
1178.79; 0.76196716; 102365.64154137
1180.83; 0.82107159; 102367.31317226
1182.87; 0.87415285; 102369.09287202
1184.90; 0.90691077; 102370.93926407
1186.94; 0.90799901; 102372.7878717
1188.97; 0.87256642; 102374.56434163
1191.01; 0.80394865; 102376.20111171
1193.05; 0.71291703; 102377.65254925
1195.08; 0.61478576; 102378.90419999
1197.12; 0.5254362; 102379.97394276
1199.15; 0.45763584; 102380.90564984
1201.19; 0.41879599; 102381.75828234
1203.22; 0.41064811; 102382.59432645
1205.26; 0.43052528; 102383.47083877
1207.30; 0.47336024; 102384.43455936
1209.33; 0.5333916; 102385.52049863
1211.37; 0.60492933; 102386.75208253
1213.40; 0.68216928; 102388.14092031
1215.44; 0.75863867; 102389.68544317
1217.48; 0.82709695; 102391.36934118
1219.51; 0.88048058; 102393.16192364
1221.55; 0.91387064; 102395.0224854
1223.58; 0.92677939; 102396.90932826
1225.62; 0.92464977; 102398.7918354
1227.66; 0.91858107; 102400.66198718
1229.69; 0.92293356; 102402.54100025
1231.73; 0.95137175; 102404.47791102
1233.76; 1.0126726; 102406.53962512
